index,word,word_sense,hypernyms,hyponyms
245,mineral,mineral.n.01,material substance part relation abstraction entity,ader wax amblygonite amphibole amphibole group apatite aragonite argentite argyrodite arsenopyrite asphalt augite baddeleyite bastnasite bauxite beryl borax bornite carnallite cassiterite celestite cerussite chalcocite chalcopyrite chlorite chromite chrysoberyl cinnabar cobaltite columbite-tantalite cordierite corundom cristobalite crocolite cryolite cuprite dolomite earth color emery erythrite fergusonite fluorite gadolinite galena garnet garnierite germanite gibbsite glauconite greenockite gypsum halite hausmannite heavy spar hemimorphite ilmenite jadeite kainite kaolinite kernite kieserite kyanite langbeinite magnesite malachite maltha manganite meerschaum mica millerite molybdenite monazite nepheline nephelinite niobite nitrocalcite olivenite olivine opal ore orpiment osmiridium pentlandite periclase pinite pollucite psilomelane pyrite pyrolusite pyromorphite pyrophyllite pyroxene pyrrhotite quartz realgar red clay rhodochrosite rhodonite rutile samarskite sapphirine scheelite smaltite sodalite spar spinel spodumene stannite stibnite strontianite sylvanite sylvite talc tantalite thorite thortveitite topaz tourmaline tridymite turquoise vanadinite vermiculite vesuvianite wolframite wollastonite wulfenite wurtzite xenotime zeolite zinc blende zinkenite zircon 
246,mineral,mineral.a.01, ,
247,mineral,mineral.s.02, ,
248,inflammation,inflammation.n.01,symptom evidence information cognition psychological feature abstraction entity,adenitis alveolitis alveolitis angiitis aortitis appendicitis arteritis balanitis balanoposthitis blepharitis bursitis carditis catarrh cellulitis cervicitis cheilitis cholangitis cholecystitis chorditis chorditis colitis colpitis colpocystitis conjunctivitis corditis costochondritis dacryocystitis diverticulitis encephalitis encephalomyelitis endarteritis endocervicitis enteritis epicondylitis epididymitis epiglottitis episcleritis esophagitis fibromyositis fibrositis folliculitis funiculitis gastritis glossitis hydrarthrosis ileitis iridocyclitis iridokeratitis iritis jejunitis jejunoileitis keratitis keratoconjunctivitis keratoiritis keratoscleritis laminitis laryngitis laryngopharyngitis laryngotracheobronchitis lymphadenitis lymphangitis mastitis mastoiditis metritis myelitis myometritis myositis neuritis oophoritis orchitis osteitis otitis ovaritis pancreatitis parametritis parotitis peritonitis phalangitis phlebitis pneumonitis posthitis proctitis prostatitis rachitis radiculitis retinitis rhinitis salpingitis scleritis shin splints sialadenitis sinusitis splenitis spondylitis stomatitis synovitis tarsitis tendinitis thyroiditis tonsillitis tracheitis tracheobronchitis tympanitis ulitis ureteritis uveitis uvulitis vaginitis valvulitis vasculitis vasovesiculitis vesiculitis vulvitis vulvovaginitis 
249,excitement,excitement.n.02,emotional arousal arousal physical condition condition state attribute abstraction entity,fever pitch sensation 
250,inflammation,inflammation.n.03,arousal change of state change action act event psychological feature abstraction entity,
251,ignition,ignition.n.03,burning change of integrity change action act event psychological feature abstraction entity,
252,screen,screen.n.04,covering artifact whole object physical entity entity,blind camouflage shoji stalking-horse 
253,blanket,blanket.n.01,bedclothes cloth covering covering artifact whole object physical entity entity,afghan electric blanket mackinaw manta security blanket 
254,cover,cover.n.03,concealment activity act event psychological feature abstraction entity,
255,binding,binding.n.05,protective covering covering artifact whole object physical entity entity,half binding three-quarter binding 
256,covering,covering.n.01,natural object whole object physical entity entity,bark blanket body covering crust envelope hood indumentum indusium integument perianth pericarp peridium roof scale sheath shell shell shell skim slough snowcap test theca vesture 
257,top,top.n.09,covering artifact whole object physical entity entity,cap lid manhole cover screwtop 
258,cover,cover.n.07,fire attack operation activity act event psychological feature abstraction entity,
259,cover charge,cover_charge.n.01,fixed charge charge cost outgo transferred property possession relation abstraction entity,
260,cover,cover.n.09,recording memory device device instrumentality artifact whole object physical entity entity,
261,cover,cover.n.10,concealment activity act event psychological feature abstraction entity,
262,cover,cover.v.01, ,aluminize bank bark bedaub bind blacklead blanket blindfold blinker board up bread brush butter canopy canvas carpet carpet clapboard cloak coat coif concrete cowl crape crown daub drape dust envelop face feather felt flake flash foil frost frost frost grass gravel grease hold hood jacket lag laminate lime line mask mask mask mound over mulch oil paint pall paper parcel paste plank plaster plaster plaster put on recover roof sheathe sheet smother sod spray spread spritz steel straw tile turf veneer wallpaper wash wax whiteout wrap 
263,cover,cover.v.02,touch,blanket bloody carpet clothe coat flood glaciate grass mantle mist shroud smother strew submerge 
264,cover,cover.v.03,be,cross dot overlap ridge spread sweep 
265,cover,cover.v.04,satisfy meet match equal,
266,cover,cover.v.05,broach hash out talk of talk communicate interact act,discourse theologize 
267,embrace,embrace.v.01,include,
268,traverse,traverse.v.01,pass travel,bridge course crisscross drive ford hop jaywalk stride tramp walk 
269,report,report.v.05,inform communicate interact act,
270,cover,cover.v.09,protect defend prevent,
271,cover,cover.v.10,protect defend prevent,
272,cover,cover.v.11,hide,whitewash 
273,cover,cover.v.12,protect defend prevent,double-team 
274,cover,cover.v.13,see verify confirm,
275,cover,cover.v.14,guarantee back approve authorize permit accept react act,indemnify reinsure 
276,cover,cover.v.15,compensate balance match adjust change,
277,cover,cover.v.16,endow enable change,
278,cover,cover.v.17,substitute supplant succeed,
279,cover,cover.v.18,be,
280,cover,cover.v.19,hide,
281,shroud,shroud.v.01,envelop cover,
282,breed,breed.v.02,copulate join connect,
283,overlay,overlay.v.01, ,splash 
284,cover,cover.v.23,play deploy position put move,
285,cover,cover.v.24,protect defend prevent,
286,brood,brood.v.05,reproduce make,
287,cover,cover.v.26,dress change state change,
288,state,state.n.01,administrative district district region location object physical entity entity,american state australian state canadian province commonwealth eparchy italian region soviet socialist republic 
289,state,state.n.02,attribute abstraction entity,action being cleavage condition condition conditionality conflict damnation dead letter death degree dependence disorder dystopia employment end enlargement feeling flux freedom grace ground state heterozygosity homozygosity hostility illumination immaturity imminence imperfection inaction integrity isomerism kalemia maturity medium merchantability motion motionlessness nationhood neotony nonbeing obligation office omnipotence omniscience order ornamentation ownership paternity perfection plurality polyvalence polyvalence readiness receivership relationship relationship representation revocation separation situation skillfulness status temporary state tribalism turgor unemployment union utilization utopia wild 
290,state,state.n.03,government polity organization social group group abstraction entity,soviets welfare state 
291,state,state.n.04,political unit unit organization social group group abstraction entity,ally city state commonwealth country developing country dominion foreign country reich rogue state sea power suzerain world power 
292,state of matter,state_of_matter.n.01,chemical phenomenon natural phenomenon phenomenon process physical entity entity,gas liquid phase plasma solid 
293,state,state.n.06,emotional state emotion feeling state attribute abstraction entity,
294,country,country.n.02,administrative district district region location object physical entity entity,african country asian country banana republic buffer state european country fatherland kingdom north american country south american country sultanate tax haven 
295,department of state,department_of_state.n.01,executive department federal department government department department division administrative unit unit organization social group group abstraction entity,foggy bottom 
296,state,state.v.01,express,add announce answer articulate declare declare explain get out give misstate note precede present summarize 
297,submit,submit.v.02,propose declare state express,
298,express,express.v.04,denote mean,vote vote 
299,cut,cut.n.01,share assets possession relation abstraction entity,rake-off 
300,cut,cut.n.02,transition passage section music auditory communication communication abstraction entity,jump cut 
300,cut,cut.n.02,transition passage section writing written communication communication abstraction entity,jump cut 
301,cut,cut.n.03,furrow trench ditch excavation artifact whole object physical entity entity,
302,cut,cut.n.04,gradation rank status state attribute abstraction entity,
303,cut,cut.n.05,wound injury ill health pathological state physical condition condition state attribute abstraction entity,
304,cut,cut.n.06,meat food solid matter physical entity entity,brisket chine chop confit cut of beef cut of lamb cut of mutton cut of pork cut of veal entrecote forequarter hindquarter leg loin neck rack rib roast saddle shank shin shoulder side sirloin steak tenderloin 
305,stinger,stinger.n.02,abuse disrespect message communication abstraction entity,
306,cut,cut.n.08,excerpt passage section music auditory communication communication abstraction entity,
306,cut,cut.n.08,excerpt passage section writing written communication communication abstraction entity,
307,deletion,deletion.n.03,editing writing written communication communication abstraction entity,
308,cut,cut.n.10,fashion vogue taste discrimination basic cognitive process process cognition psychological feature abstraction entity,
309,cut,cut.n.11,canal watercourse way artifact whole object physical entity entity,
310,snub,snub.n.02,rebuff discourtesy behavior activity act event psychological feature abstraction entity,
311,baseball swing,baseball_swing.n.01,stroke maneuver motion change action act event psychological feature abstraction entity,
312,cut,cut.n.14,stroke maneuver motion change action act event psychological feature abstraction entity,
313,cut,cut.n.15,division separation change of integrity change action act event psychological feature abstraction entity,
314,cut,cut.n.16,opening change of integrity change action act event psychological feature abstraction entity,incision notch slash 
315,cut,cut.n.17,division separation change of integrity change action act event psychological feature abstraction entity,dissection scission severance slicing undercut 
316,cut,cut.n.18,shortening decrease change of magnitude change action act event psychological feature abstraction entity,clip haircut shearing trim 
317,cut,cut.n.19,decrease change of magnitude change action act event psychological feature abstraction entity,budget cut cost cutting pay cut price cutting spending cut tax cut 
318,cut,cut.n.20,absence nonattendance group action act event psychological feature abstraction entity,
318,cut,cut.n.20,absence nonattendance group action event psychological feature abstraction entity,
319,cut,cut.v.01,separate move,bevel bisect bore carve carve carve chase chatter chip chop chop circumcise cradle crosscut cube cut away discerp dissect dock fell furrow hack hob incise indent jag julienne manicure mortise mow nick nick nip pare pink plane rebate rip sabre saw scissor shear slash slash slice slit tap tomahawk transect trench trisect undercut whittle 
320,reduce,reduce.v.01,decrease change,deflate downsize inflate quench retrench shave shorten slash spill subtract take away thin thin out 
321,swerve,swerve.v.01,turn move,peel off yaw 
322,cut,cut.v.04, ,
323,cut,cut.v.05,free,
324,cut,cut.v.06,make,blast 
325,cut,cut.v.07,design create make,gore 
326,cut,cut.v.08,hit touch,
327,write out,write_out.v.02,write communicate interact act,check 
328,edit,edit.v.03,change,
329,cut,cut.v.11,miss fail,bunk off 
330,hack,hack.v.02,cope act,
331,cut,cut.v.13,look be,
332,cut,cut.v.14,move,
333,cut,cut.v.15,pass travel,
334,cut,cut.v.16,transit pass travel,
335,cut,cut.v.17,switch,cut away 
336,cut,cut.v.18,stop,
337,cut,cut.v.19,record record save keep have,
338,cut,cut.v.20,record record save keep have,
339,cut,cut.v.21,produce,
340,cut,cut.v.22,make,
341,cut,cut.v.23,perform,
342,cut,cut.v.24,function,
343,cut,cut.v.25,be,
344,cut,cut.v.26,shuffle manipulate handle touch,
345,switch off,switch_off.v.01,throw engage move,kill 
346,cut,cut.v.28,reap gather,
347,cut,cut.v.29,fell cut separate move,
348,cut,cut.v.30,penetrate enter,
349,ignore,ignore.v.01,treat interact act,
350,cut,cut.v.32,shorten change,crop french shave 
351,cut,cut.v.33,extinguish destroy unmake,
352,cut,cut.v.34,dissolve change integrity change,
353,cut,cut.v.35,decrease change,
354,cut,cut.v.36,interrupt break end change,
355,abridge,abridge.v.01,decrease change,bowdlerize digest 
356,dilute,dilute.v.01,weaken change,water down 
357,cut,cut.v.39,grow change,
358,cut,cut.v.40,grow develop grow increase change magnitude change,
359,geld,geld.v.01,emasculate sterilize operate on treat,
360,cut,cut.a.01, ,
361,cut,cut.a.02, ,
362,cut,cut.s.03, ,
363,trimmed,trimmed.a.01, ,
364,mown,mown.a.01, ,
365,cut,cut.a.06, ,
366,cut,cut.s.07, ,
367,cut,cut.s.08, ,
368,cut,cut.s.09, ,
369,procedure,procedure.n.01,activity act event psychological feature abstraction entity,bertillon system calculation condition diagnostic procedure emergency procedure experimental procedure fingerprinting genetic profiling indirection mapping medical procedure operating procedure rigmarole routine rule stiffening 
370,process,process.n.02,cognition psychological feature abstraction entity,basic cognitive process higher cognitive process 
371,summons,summons.n.03,writ legal document document writing written communication communication abstraction entity,citation monition ticket 
372,process,process.n.04,cognition psychological feature abstraction entity,condensation defense mechanism sleep talking 
373,process,process.n.05,body part part thing physical entity entity,acromion acrosome aculea ala alveolar arch alveolar ridge apophysis appendix arista caruncle cirrus condyle coronoid process crest epicondyle excrescence fetlock fimbria flagellum hair horn horn mastoid metaphysis odontoid process olecranon osteophyte papilla papilla papilla plant process pseudopod pterygoid process ridge spicule spine style styloid process tail tentacle transverse process trochanter tuberosity villus zygomatic process 
374,process,process.n.06,physical entity entity,chelation dealignment decrease degeneration development economic process encapsulation execution human process increase industrial process irreversible process iteration iteration natural process operation organic process phenomenon photography processing reversible process sensitization shaping variation 
375,process,process.v.01,affect change,agenize air-condition ammoniate beneficiate bituminize bromate camphorate carbonate carboxylate chlorinate chrome creosote curry digest dose fluoridate fumigate iodize irradiate malt mercerize nitrate nitrify oxygenate propagate refine reverberate run scald seed sulphur tank vulcanize 
376,process,process.v.02,manage control,
377,process,process.v.03,calculate reason think,
378,action,action.v.01,challenge invite request ask request communicate convey transfer move,expedite 
379,march,march.v.01,walk travel,countermarch debouch file goose step parade 
380,work,work.v.05,transform change,coldwork hot-work overwork rack rework till tool 
381,serve,serve.v.11,deliver bring transmit move,subpoena wash 
382,hit,hit.n.01,feat accomplishment action act event psychological feature abstraction entity,base hit 
383,hit,hit.n.02,touch act event psychological feature abstraction entity,bunt contusion crash fly grounder header plunk scorcher 
384,hit,hit.n.03,success attainment accomplishment action act event psychological feature abstraction entity,blockbuster sleeper 
385,collision,collision.n.01,contact happening event psychological feature abstraction entity,
386,hit,hit.n.05,dose medicine drug agent causal agent physical entity entity,
386,hit,hit.n.05,dose medicine drug agent substance matter physical entity entity,
387,hit,hit.n.06,murder homicide killing termination change of state change action act event psychological feature abstraction entity,
388,hit,hit.n.07,joining change of integrity change action act event psychological feature abstraction entity,
389,hit,hit.v.01,propel move,backhand bounce bunker bunt cannon clap connect croquet double dribble drive drive fly follow through foul ground ground ground out heel hole hook kill kill loft pitch play pop pull putt racket shank shell shoot single slice smash snap snick toe toe top triple undercut volley whang 
390,hit,hit.v.02,touch,bottom bottom out broadside bump collide connect glance ping rear-end run into spang spat stub thud 
391,hit,hit.v.03,touch,bat bat bat bean belt box brain buffet clap club conk cosh crack cudgel cut get hook kick lam into pop pummel punch sandbag slam slug smack smash smite sock swat swipe thump whack 
392,reach,reach.v.01, ,access bottom out catch up culminate find get through ground make scale summit top top out 
393,hit,hit.v.05,affect change,
394,shoot,shoot.v.01,injure hurt indispose change,grass gun down kneecap 
395,stumble,stumble.v.03,come by get,
396,score,score.v.01,gain,ace convert convert convert eagle equalize have hole up homer kick par shoot walk 
397,hit,hit.v.09, ,
398,strike,strike.v.04,attack contend,chop retaliate slice stroke 
399,murder,murder.v.01,kill,burke execute 
400,hit,hit.v.12,move,smash 
401,reach,reach.v.02,arrive,break even max out 
402,strike,strike.v.10,touch,
403,hit,hit.v.15,consume,
404,hit,hit.v.16,succeed,
405,hit,hit.v.17,approach address come travel,
406,collection,collection.n.01,group abstraction entity,agglomeration ana armamentarium art collection asia assortment aviation backlog batch batch battery biota block book book bottle collection bunch central america class coin collection collage combination congregation content convoy corpus crop data defense ensemble europe exhibition fauna findings flagging fleet fleet fleet flinders free world galaxy galaxy generally accepted accounting principles gimmickry hand herbarium hit parade job lot judaica kludge law library library long suit mail mass menagerie mythology north america nuclear club oort cloud pack package pantheon petting zoo pharmacopoeia pile planting population procession prosecution repertoire repertory rogue's gallery set signage smithereens south america stamp collection statuary string sum tenantry third world traffic treasure treasure trove trinketry troponymy vegetation victoriana wardrobe wardrobe 
407,collection,collection.n.02,publication work product creation artifact whole object physical entity entity,anthology archives compilation 
408,solicitation,solicitation.n.02,request message communication abstraction entity,whip-round 
409,collection,collection.n.04,grouping activity act event psychological feature abstraction entity,agglomeration bottle collection collation compilation conchology gather numismatics philately pickup tax collection 
410,operation,operation.n.01,action state attribute abstraction entity,commission idle running 
411,operation,operation.n.02,business activity enterprise undertaking work activity act event psychological feature abstraction entity,
412,operation,operation.n.03,activity act event psychological feature abstraction entity,rescue operation undercover operation 
413,operation,operation.n.04,data processing processing process physical entity entity,access asynchronous operation auxiliary operation boolean operation computer operation concurrent operation control operation dyadic operation fixed-cycle operation logic operation monadic operation multiplex operation parallel operation printing operation search serial operation sort synchronous operation threshold operation 
414,operation,operation.n.05,activity act event psychological feature abstraction entity,amphibious operation attack campaign combined operation covert operation information gathering maneuver mission naval campaign offense peacekeeping psychological operation support 
415,operation,operation.n.06,medical procedure procedure activity act event psychological feature abstraction entity,ablation amputation angioplasty arthroplasty arthroscopy brain surgery castration catheterization cautery chemosurgery craniotomy cryosurgery curettage debridement decortication dilation and curettage electrosurgery enterostomy enucleation evisceration exenteration eye operation fenestration gastrectomy gastroenterostomy gastrostomy heart surgery hemorrhoidectomy hysterotomy implantation intestinal bypass jejunostomy major surgery microsurgery minor surgery myotomy myringectomy myringoplasty myringotomy neurosurgery orchiopexy osteotomy ostomy palatopharyngoplasty phlebectomy photocoagulation plastic surgery polypectomy resection rhinotomy rhizotomy sex-change operation shirodkar's operation sterilization strabotomy taxis tracheostomy transplant trephination tympanoplasty uranoplasty vasovasostomy vivisection wrong-site surgery 
416,operation,operation.n.07,work activity act event psychological feature abstraction entity,
417,operation,operation.n.08,process physical entity entity,
418,process,process.n.02,cognition psychological feature abstraction entity,basic cognitive process higher cognitive process 
419,mathematical process,mathematical_process.n.01,calculation procedure activity act event psychological feature abstraction entity,arithmetic operation combination construction differentiation exponentiation integration matrix operation maximization permutation relaxation 
420,operation,operation.n.11,activity act event psychological feature abstraction entity,
421,play,play.n.01,dramatic composition writing written communication communication abstraction entity,grand guignol miracle play morality play mystery play passion play playlet satyr play theater of the absurd 
422,play,play.n.02,show social event event psychological feature abstraction entity,curtain raiser musical 
423,play,play.n.03,plan of action plan idea content cognition psychological feature abstraction entity,basketball play football play knock on power play razzle-dazzle 
424,maneuver,maneuver.n.03,motion change action act event psychological feature abstraction entity,assist ball hawking baseball play completion figure footwork icing jugglery mousetrap obstruction safety blitz stroke takeaway 
425,play,play.n.05,action state attribute abstraction entity,
426,play,play.n.06,use activity act event psychological feature abstraction entity,
427,bid,bid.n.02,attempt activity act event psychological feature abstraction entity,
428,play,play.n.08,diversion activity act event psychological feature abstraction entity,doctor fireman house 
429,playing period,playing_period.n.01,measure abstraction entity,hole set 
430,free rein,free_rein.n.01,freedom state attribute abstraction entity,
431,shimmer,shimmer.n.01,change happening event psychological feature abstraction entity,
432,fun,fun.n.02,wit message communication abstraction entity,drollery jocosity pun waggery 
433,looseness,looseness.n.05,movability mobility quality attribute abstraction entity,slack wiggliness 
434,play,play.n.14,diversion activity act event psychological feature abstraction entity,flirt folly game horseplay teasing word play 
435,turn,turn.n.03,activity act event psychological feature abstraction entity,attack bat down innings lead move ruff start trick 
436,gambling,gambling.n.01,diversion activity act event psychological feature abstraction entity,bet game of chance sporting life throw 
436,gambling,gambling.n.01,vice transgression wrongdoing activity act event psychological feature abstraction entity,bet game of chance sporting life throw 
437,play,play.n.17,action act event psychological feature abstraction entity,fencing 
438,play,play.v.01,compete,ace backstop bandy bid bowl catch complete cradle cricket croquet curl develop develop die exit face off field foul fullback fumble gamble golf line up misplay play out put out putt quarterback replay revoke snooker start tee off teeter-totter unblock volley walk 
439,play,play.v.02,act,
440,play,play.v.03,perform re-create make,bow busk play along sound off swing symphonize 
441,act,act.v.03,re-create make,act out emote enact impersonate make parody support 
442,play,play.v.05,act,dabble frolic horse around roughhouse 
443,play,play.v.06,re-create make,bang out bugle fiddle jazz misplay modulate prelude rag replay reprise riff slur tongue 
444,play,play.v.07,sound,beat chord clarion drum fiddle harp pipe register skirl trumpet tweedle 
445,act,act.v.05,act,
446,play,play.v.09,travel,
447,play,play.v.10,gamble play compete,underplay 
448,play,play.v.11, ,
449,play,play.v.12,simulate dissemble,
450,play,play.v.13,sound,
451,play,play.v.14,perform re-create make,
452,play,play.v.15,deploy position put move,cover declare pitch 
453,play,play.v.16,act,
454,play,play.v.17,act,
455,play,play.v.18, ,
456,toy,toy.v.02,manipulate handle touch,put out 
457,play,play.v.20,exploit use,
458,dally,dally.v.04,consider think about think,
459,play,play.v.22, ,
460,dally,dally.v.01,act,
461,play,play.v.24,move,
462,act,act.v.10,perform re-create make,mime overact stooge underact 
463,play,play.v.26, ,debut 
464,bring,bring.v.03,make,
465,play,play.v.28,discharge spread,
466,play,play.v.29,bet gamble play compete,
467,bet,bet.v.02,gamble play compete,bet on play raise see 
468,play,play.v.31,hit propel move,hook 
469,play,play.v.32,use,promote 
470,play,play.v.33,use,
471,meet,meet.v.10, ,confront replay 
472,play,play.v.35,exhaust tire indispose change,
473,supply,supply.n.01,indefinite quantity measure abstraction entity,reservoir 
474,supply,supply.n.02,economic process process physical entity entity,
475,provision,provision.n.02,activity act event psychological feature abstraction entity,feeding fueling healthcare delivery irrigation issue logistics purveyance stocking subvention 
476,supply,supply.v.01,give transfer,air-cool alphabetize arm bed berth bewhisker border bottom brattice bush calk canal capitalize caption causeway charge cleat coal computerize constitutionalize copper-bottom corbel cornice costume crenel curtain dado date equip extend feed flood fret fuel fuel fund furnish gate glass grate hat headline headquarter heat hobnail hydrate index innervate interleave joint kern key leverage machicolate match offer partner patch pour provision pump rafter rail railroad ramp reflectorize retrofit rim sanitate seat seat shelter signalize slat step stint stock stock stock stock subtitle surfeit tap terrace theme ticket toggle tool top transistorize tube uniform upholster victual water wharf wive yield 
477,issue,issue.v.02,distribute transfer,free reissue unblock 
478,provide,provide.v.02,give transfer,accommodate board cater drench feed feed feed fix up gratify gutter horse meet nourish pander power regale serve serve shower staff underlay 
479,add,add.v.02,state express,slip in toss in 
480,symptom,symptom.n.01,evidence information cognition psychological feature abstraction entity,abscess ague albuminuria alkalinuria amenorrhea aminoaciduria ammoniuria anemia apnea areflexia atrophy aura bubo cardiomegaly chill chloasma clubbing congestion constipation cough crepitation rale cyanosis diarrhea diuresis dizziness dyspnea effect eosinopenia eosinophilia eruption exophthalmos festination fever furring glycosuria hardening heart murmur heartburn hematuria hemoglobinemia hemoglobinuria hemoptysis hemosiderosis hiccup hot flash hydrophobia hypercalcemia hypercalciuria hypercholesterolemia hyperglycemia hyperkalemia hypernatremia hypersplenism hypocalcemia hypoglycemia hypokalemia hyponatremia hypoproteinemia indigestion inflammation jacquemier's sign jaundice kaliuresis kayser-fleischer ring keratomalacia kernig's sign ketonemia ketonuria koplik's spots lipemia lymphuria meningism menorrhagia monocytosis musca volitans myoglobinuria natriuresis nausea nebula numbness ochronosis oliguria pain palpitation palsy paresthesia postnasal drip prodrome purulence pyuria rhinorrhea scar sneeze spasm steatorrhea stridor swelling syndrome thrombocytosis tinnitus uratemia uraturia uricaciduria wheeziness withdrawal symptom 
481,symptom,symptom.n.02,indication communication abstraction entity,
482,letter,letter.n.01,document representation creation artifact whole object physical entity entity,airmail letter business letter chain letter covering letter crank letter dead letter encyclical epistle fan letter form letter invitation letter of intent open letter pastoral personal letter round robin 
482,letter,letter.n.01,text matter writing written communication communication abstraction entity,airmail letter business letter chain letter covering letter crank letter dead letter encyclical epistle fan letter form letter invitation letter of intent open letter pastoral personal letter round robin 
483,letter,letter.n.02,character written symbol symbol signal communication abstraction entity,a aleph alpha ascender ayin b beta beth block letter c chi consonant d daleth delta descender digraph e epsilon eta f g gamma gimel h he heth i initial iota j k kaph kappa l lambda lamedh m mem mu n nu nun o omega omicron p pe phi pi polyphone psi q qoph r resh rho s sadhe samekh shin sigma sin t tau taw teth theta u upsilon v vowel w waw x xi y yodh z zayin zeta 
484,letter,letter.n.03,owner businessman businessperson capitalist person causal agent physical entity entity,
484,letter,letter.n.03,owner businessman businessperson capitalist person organism living thing whole object physical entity entity,
485,letter,letter.n.04,literal interpretation interpretation explanation statement message communication abstraction entity,
486,letter,letter.n.05,award symbol signal communication abstraction entity,
487,letter,letter.v.01,earn get,
488,letter,letter.v.02,print write trace mark change,
489,letter,letter.v.03,write trace mark change,
490,work,work.n.01,activity act event psychological feature abstraction entity,action busywork care coursework duty heavy lifting housewifery housework investigation ironing job job labor logging loose end mission nightwork operation paperwork service shining spadework subbing timework undertaking wash welfare work 
491,work,work.n.02,product creation artifact whole object physical entity entity,follow-up handicraft ironwork lacework lacquerware leatherwork masterpiece metalwork openwork polychrome publication silverwork wicker woodwork work in progress workpiece 
492,employment,employment.n.02,occupation activity act event psychological feature abstraction entity,coaching engagement ministry paper route piecework public service seafaring service services telecommuting workload 
493,study,study.n.02,learning basic cognitive process process cognition psychological feature abstraction entity,
494,work,work.n.05,energy physical phenomenon natural phenomenon phenomenon process physical entity entity,
495,workplace,workplace.n.01,geographic point point location object physical entity entity,bakery beehive brokerage house central colliery creamery drill site exchange farm fish farm fishery forge gasworks glassworks ironworks job lab laundry location lumberyard oyster bed proving ground ropewalk roundhouse shipyard shop floor studio studio tannery test bed waterworks workshop 
496,oeuvre,oeuvre.n.01,end product product creation artifact whole object physical entity entity,writing 
497,work,work.v.01, ,assist beaver boondoggle busy carpenter clerk collaborate electioneer intern minister page plug away pull one's weight putter serve skimp skipper specialize volunteer wait whore work work at work through 
498,work,work.v.02, ,bank drive farm fill fink freelance job labor man moonlight serve serve slave subcontract tinker turn a trick 
499,work,work.v.03,succeed,
500,function,function.v.01, ,cut double roll run service 
501,work,work.v.05,transform change,coldwork hot-work overwork rack rework till tool 
502,exercise,exercise.v.03,work use,warm up 
503,make,make.v.36,pass travel,bushwhack claw jostle 
504,work,work.v.08,work,
505,work,work.v.09,go act,
506,work,work.v.10,move,
507,bring,bring.v.03,make,
508,work,work.v.12,use,cybernate exercise overwork rack warm up 
509,cultivate,cultivate.v.02,fix change,overcrop 
510,work,work.v.14,be,
511,influence,influence.v.01,affect change,blackmail carry color dominate fix get at imprint manipulate militate prejudice swing 
512,work,work.v.16,operate direct manage control,
513,work,work.v.17,manage control,
514,work,work.v.18,stimulate sensitize,
515,work,work.v.19,capture attract,
516,shape,shape.v.02,create from raw material make,beat carve cast chip cut out grind handbuild hill layer machine model mound preform preform puddle reshape roughcast sculpt sinter stamp swage throw 
517,work,work.v.21,move,stir 
518,knead,knead.v.01,manipulate handle touch,masticate proof 
519,exploit,exploit.v.01,use,avail make hay play prey use 
520,solve,solve.v.01,understand,answer answer break guess riddle strike 
521,ferment,ferment.v.03,convert change,vinify 
522,sour,sour.v.01,change state change,
523,work,work.v.27,become change state change,
524,wood,wood.n.01,plant material material substance matter physical entity entity,alder ash balsa bamboo basswood beech beefwood bentwood birch black locust blackwood boxwood brazilwood briarwood brushwood burl cabinet wood cedar cherry chestnut citronwood cocuswood cypress dogwood driftwood dyewood ebony elm eucalyptus fir fruitwood granadilla wood guaiac wood gumwood hardwood hazel heartwood hemlock hickory incense wood ironwood kauri kingwood knot lancewood larch lemonwood lignum vitae locust log logwood mahogany maple matchwood matchwood oak obeche olive orangewood panama redwood pecan pine poon poplar pyinma raw wood red lauan redwood rosewood ruby wood sabicu sandalwood sandarac sapwood satinwood sawdust shittimwood silver quandong softwood spruce sumac sycamore teak tulipwood tulipwood tupelo walnut wicker yellowwood yew zebrawood 
524,wood,wood.n.01,plant material material substance part relation abstraction entity,alder ash balsa bamboo basswood beech beefwood bentwood birch black locust blackwood boxwood brazilwood briarwood brushwood burl cabinet wood cedar cherry chestnut citronwood cocuswood cypress dogwood driftwood dyewood ebony elm eucalyptus fir fruitwood granadilla wood guaiac wood gumwood hardwood hazel heartwood hemlock hickory incense wood ironwood kauri kingwood knot lancewood larch lemonwood lignum vitae locust log logwood mahogany maple matchwood matchwood oak obeche olive orangewood panama redwood pecan pine poon poplar pyinma raw wood red lauan redwood rosewood ruby wood sabicu sandalwood sandarac sapwood satinwood sawdust shittimwood silver quandong softwood spruce sumac sycamore teak tulipwood tulipwood tupelo walnut wicker yellowwood yew zebrawood 
525,forest,forest.n.01,vegetation collection group abstraction entity,bosk grove jungle old growth rain forest second growth 
526,wood,wood.n.03, ,
527,wood,wood.n.04, ,
528,wood,wood.n.05, ,
529,wood,wood.n.06, ,
530,woodwind,woodwind.n.01,wind instrument musical instrument device instrumentality artifact whole object physical entity entity,beating-reed instrument flute 
531,wood,wood.n.08,golf club golf equipment sports equipment equipment instrumentality artifact whole object physical entity entity,brassie driver metal wood spoon 
532,area,area.n.01,region location object physical entity entity,anchorage arena bed ground block broadcast area center corner corner danger disaster area free port haunt hearth high country hunting ground neighborhood no-go area no man's land open quadrant quadrant rain shadow resort area retreat safety scene section shrubbery space staging area tank farm winner's circle 
